  0.00s  INFO Bundling project...
 21.89s  INFO Compiled [444/544]: zeno
 22.28s  INFO Compiled [447/544]: rspolib
 22.39s  INFO Compiled [448/544]: rowan
 22.53s  INFO Compiled [450/544]: linked_hash_set
 22.69s  INFO Compiled [451/544]: pxfm
 22.74s  INFO Compiled [452/544]: pin_project
 22.79s  INFO Compiled [453/544]: usvg
 22.83s  INFO Compiled [454/544]: annotate_snippets
 23.18s  INFO Compiled [456/544]: accesskit
 23.31s  INFO Compiled [457/544]: vtable
 23.54s  INFO Compiled [458/544]: auto_enums
 23.77s  INFO Compiled [459/544]: parley
 23.81s  INFO Compiled [460/544]: swash
 23.88s  INFO Compiled [461/544]: lyon_extra
 23.93s  INFO Compiled [462/544]: url
 23.94s  INFO Compiled [463/544]: num_enum
 23.99s  INFO Compiled [464/544]: i_slint_common
 24.12s  INFO Compiled [465/544]: lyon_extra
 24.27s  INFO Compiled [466/544]: clru
 24.28s  INFO Compiled [467/544]: core_graphics
 24.29s  INFO Compiled [468/544]: i_slint_core_macros
 24.30s  INFO Compiled [469/544]: resvg
 24.34s  INFO Compiled [470/544]: idna_adapter
 24.63s  INFO Compiled [471/544]: strum
 24.63s  INFO Compiled [472/544]: strum
 24.70s  INFO Compiled [473/544]: lyon_algorithms
 24.74s  INFO Compiled [474/544]: taffy
 24.75s  INFO Compiled [475/544]: smol_str
 24.85s  INFO Compiled [476/544]: typed_index_collections
 24.88s  INFO Compiled [477/544]: build-script-build
 24.88s  INFO Compiled [478/544]: percent_encoding
 24.89s  INFO Compiled [479/544]: smol_str
 24.90s  INFO Compiled [480/544]: by_address
 24.94s  INFO Compiled [481/544]: pin_weak
 24.99s  INFO Compiled [482/544]: scopeguard
 24.99s  INFO Compiled [483/544]: slab
 25.00s  INFO Compiled [484/544]: either
 25.03s  INFO Compiled [485/544]: pin_utils
 25.06s  INFO Compiled [486/544]: unicode_linebreak
 25.06s  INFO Compiled [487/544]: cursor_icon
 25.07s  INFO Compiled [488/544]: sys_locale
 25.08s  INFO Compiled [489/544]: spin_on
 25.24s  INFO Compiled [490/544]: chrono
 25.84s  INFO Compiled [492/544]: serde_derive
 25.90s  INFO Compiled [493/544]: itertools
 25.91s  INFO Compiled [494/544]: form_urlencoded
 26.68s  INFO Compiled [495/544]: serde
 26.81s  INFO Compiled [496/544]: image
 27.05s  INFO Compiled [497/544]: crossbeam_utils
 27.10s  INFO Compiled [498/544]: dispatch2
 27.10s  INFO Compiled [499/544]: cgl
 27.23s  INFO Compiled [500/544]: libloading
 27.28s  INFO Compiled [501/544]: fnv
 27.37s  INFO Compiled [502/544]: idna
 27.38s  INFO Compiled [503/544]: build-script-build
 27.41s  INFO Compiled [504/544]: imgref
 27.58s  INFO Compiled [505/544]: swash
 27.97s  INFO Compiled [507/544]: moxcms
 27.98s  INFO Compiled [508/544]: crossbeam_channel
 28.00s  INFO Compiled [509/544]: glutin
 28.04s  INFO Compiled [510/544]: integer_sqrt
 28.16s  INFO Compiled [511/544]: winit
 28.34s  INFO Compiled [512/544]: core_foundation
 28.58s  INFO Compiled [513/544]: build-script-build
 28.59s  INFO Compiled [514/544]: accesskit_consumer
 28.79s  INFO Compiled [515/544]: webbrowser
 28.88s  INFO Compiled [517/544]: accesskit_winit
 28.93s  INFO Compiled [518/544]: glow
 29.18s  INFO Compiled [519/544]: keyboard_types
 29.35s  INFO Compiled [520/544]: glutin_winit
 29.59s  INFO Compiled [521/544]: softbuffer
 29.63s  INFO Compiled [522/544]: i_slint_renderer_femtovg
 29.64s  INFO Compiled [523/544]: url
 29.70s  INFO Compiled [524/544]: scoped_tls_hkt
 29.77s  INFO Compiled [525/544]: copypasta
 29.82s  INFO Compiled [526/544]: harfrust
 29.94s  INFO Compiled [527/544]: accesskit_macos
 30.09s  INFO Compiled [528/544]: build-script-build
 30.55s  INFO Compiled [530/544]: femtovg
 30.63s  INFO Compiled [531/544]: objc2_app_kit
 30.70s  INFO Compiled [532/544]: slint_build
 30.94s  INFO Compiled [533/544]: i_slint_backend_selector
 31.35s  INFO Compiled [534/544]: muda
 32.95s  INFO Compiled [535/544]: image
 33.77s  INFO Compiled [536/544]: i_slint_compiler
 33.90s  INFO Compiled [537/544]: i_slint_renderer_software
 34.21s  INFO Compiled [538/544]: i_slint_core
 34.51s  INFO Compiled [539/544]: slint_macros
 34.53s  INFO Compiled [540/544]: build-script-build
 34.80s  INFO Compiled [541/544]: i_slint_backend_winit
 35.62s  INFO Compiled [543/544]: slint
 39.40s  INFO Compiled [544/544]: slint-app
 39.41s  INFO Bundling app...
 39.42s  INFO Running package bundler...
 39.42s  INFO Creating macOS .app bundle at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-app/target/dx/slint-app/bundle/macos/macos/SlintApp.app
 39.42s  INFO Copying existing .icns file: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-app/icon.icns
 39.43s  INFO Creating DMG at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-app/target/dx/slint-app/bundle/macos/macos/SlintApp_0.1.0_aarch64.dmg
created: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-app/target/dx/slint-app/bundle/macos/macos/SlintApp_0.1.0_aarch64.dmg
 43.46s  INFO DMG created at /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-app/target/dx/slint-app/bundle/macos/macos/SlintApp_0.1.0_aarch64.dmg
 43.46s  INFO Bundled: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-app/target/dx/slint-app/bundle/macos/macos/SlintApp.app
 43.46s  INFO Bundled: /Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-app/target/dx/slint-app/bundle/macos/macos/SlintApp_0.1.0_aarch64.dmg
Bundled 2 bundles:
/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-app/target/dx/slint-app/bundle/macos/macos/SlintApp.app
/Users/mpl4/Desktop/workspace/self_learning/rust/gui-ecosystem-research/apps/slint-app/target/dx/slint-app/bundle/macos/macos/SlintApp_0.1.0_aarch64.dmg
real 43.49
user 331.04
sys 21.22
